#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:46:48       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:49       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:49       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:50       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:50       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:51       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:51       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:52       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:52       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:53       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:53       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:54       0    100     51      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:54       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:55       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:55       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:56       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:56       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:57       0    100     53      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:57       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:58       0    100     52      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:46:58       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:59       0    100     49      0      0      0      0  12481   2400  91767  91768      0 
 20260615    13:46:59       1    100     51      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:47:00       0     83     42      0      0      0      0  12481   2422  91771  91772      0 
 20260615    13:47:00       1     51     24      0      0      0      0  12481   2422  91769  91770      0 
